STATUS,TYPE,LOCATION,Street,Cross Street,Latitude,Longitude,Neighborhood,Supervisor District,JURSIDCTION,DATE_SUR,SHOP_DATE,MO_INST,YR_INST,RACKS,STAFF,PLACEMENT,INTERNAL_COMMENTS,NOT_RECOMMENDED_REASON,LIST_#,REQ_DATE,RACK_REQ,SUG_PLACE,REASON_REQ,FROM,NAME,EMAIL,PHONE,Location 1
_Installed,Sidewalk Rack,Social Imprints,Market,Golden Gate/Jones/McAllister,37.781716,-122.411063,Downtown/Civic Center,6,The SFMTA,,,,2002,1,1, ,,n/a,21,,,,,,,,,"1052 Market
San Francisco, California
(37.781716, -122.411063)"
_Installed,Sidewalk Rack,_undetermined,Valencia,21st St,37.756064,-122.421006,Mission,9,The SFMTA,,,,2005,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1055 Valencia
San Francisco, California
(37.756064, -122.421006)"
Not Recommended,Sidewalk Rack,Restaurant,Valencia,Hill,37.755951,-122.421094,,,The SFMTA,04/12/2010 12:00 AM,,,,0,DR,,Already two  bicycle racks on Valencia nearby.; surveyed by DR,Existing bike parking meets demand,n/a or pre-injunction,,1,,,,,,,"1058 Valencia
San Francisco, California
(37.755951, -122.421094)"
_Installed,Sidewalk Rack,_undetermined,Powell,Ellis,37.785592,-122.407779,Downtown/Civic Center,3,The SFMTA,,,,2003,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"106 Powell
San Francisco, California
(37.785592, -122.407779)"
_Installed,Sidewalk Rack,Charles Schwab,West Portal,Vicente,37.739514,-122.46733,West of Twin Peaks,7,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"106 West Portal
San Francisco, California
(37.739514, -122.467330)"
_Request,Sidewalk Rack,Bryant (PreK & SA) CDC,York,22nd St / 23rd St,37.755085,-122.408471,Mission,9,The SFMTA,,,,,,,,request from SFUSD,n/a,,06/05/2012 12:00 AM,1,near main entrance,no existing visitor bike parking,SFUSD,Nikolai Kaestner,KaestnerN@sfusd.edu ,(415) 241-4327,"1060 York Street
San Francisco, California
(37.755085, -122.408471)"
_Installed,Sidewalk Rack,_undetermined,Valencia,22nd St,37.755787,-122.421045,Mission,8,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1062 Valencia
San Francisco, California
(37.755787, -122.421045)"
_Installed,Sidewalk Rack,Piper's Jewelers,Market,Jones/McAllister,37.781557,-122.411264,Downtown/Civic Center,6,The SFMTA,04/21/2011 12:00 AM,04/26/2011 12:00 AM,5,2011,1,RD,"NS Market, 105' E of McAllister","perpendicular to the curb, near lightpole, at end of yelllow zone",n/a,n/a or pre-injunction,10/23/2010 12:00 AM,1,,"no biking racks around our area, and so bikers have to bring their bike inside our shop sometimes",employee/owner,Al Choi,pipersjewelers@gmail.com,,"1066A Market
San Francisco, California
(37.781557, -122.411264)"
_Installed,Sidewalk Rack,The Lotus Center,Valencia,22nd St,37.755804,-122.420942,Mission,9,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1069 Valencia
San Francisco, California
(37.755804, -122.420942)"
_Installed,Sidewalk Rack,_undetermined,Folsom,17th St,37.777303,-122.407209,South of Market,6,The SFMTA,,,,2005,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1070 Folsom
San Francisco, California
(37.777303, -122.407209)"
_Installed,Sidewalk Rack,Huckleberry Bicycles,Market ,McAllister,37.780957,-122.411872,Downtown/Civic Center,6,The SFMTA,06/21/2011 12:00 AM,09/20/2011 12:00 AM,11,2011,2,JH/WT/ML,"1 SS of Market, 220' NE of 7th St",Huckleberry Bikes is not located here yet. Talked to current business.,n/a,n/a or pre-injunction,06/05/2011 12:00 AM,,,Opening a bike shop on Market. General low number of bike racks with the amount of bike traffic in the area. ,Co-founder ,Zack Stender,zackstender@huckleberrybicycles.com,(415) 637-2787,"1073 Market
San Francisco, California
(37.780957, -122.411872)"
Not Recommended,Sidewalk Rack,The Common retail store and art gallery (closed at this location),Mission,Seventh St,37.779587,-122.410382,,,The SFMTA,03/12/2012 12:00 AM,,,,0,RD,,out of business on survey date,Owner declined approval,n/a or pre-injunction,10/20/2010 12:00 AM,2,,to encourage our customers to choose sustainable transportation rather than driving into the city core,owner/employee,Michael Armenta / Jeremy Smith,armentamike@gmail.com / smith.jeremy@gmail.com,Thecommonsf.com,"1077 Mission
San Francisco, California
(37.779587, -122.410382)"
_Installed,Sidewalk Rack,_undetermined,Valencia,21st St,37.755649,-122.420929,Mission,9,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1079 Valencia
San Francisco, California
(37.755649, -122.420929)"
Not Recommended,Sidewalk Rack,residential,Eddy,Gough,37.782348,-122.425304,,,The SFMTA,02/12/2011 12:00 AM,,,,0,,,,Residential-only land-use,n/a or pre-injunction,02/12/2011 12:00 AM,1,in front,"residents and guests ride bikes, no place to lock them",resident manager,Greg Tietz,sfdirtymonkey@sbcglobal.net,,"1080 Eddy
San Francisco, California
(37.782348, -122.425304)"
_Stenciled,Sidewalk Rack,De La Paz Coffee Roasters,Mission,Seventh St,37.779532,-122.410401,South of Market,6,The SFMTA,07/19/2012 12:00 AM,,,,2,JC,"SES Mission, 2 racks parellel 100' NE of 7th St","Opening by late August, survey this location and 1085 Mission to share racks. Original request on 5/20/11, surveyed 5/10/12 but not open for business",n/a,30,06/04/2012 12:00 AM,2,,,owner,Jason Benford and Mat Olive,mat@delapazcoffee.com,415-525.4344,"1081 Mission
San Francisco, California
(37.779532, -122.410401)"
_Stenciled,Sidewalk Rack,AQ Restaurant & Bar,Mission,Seventh St,37.779464,-122.410486,South of Market,6,The SFMTA,07/19/2012 12:00 AM,,,,2,JC,"SES Mission, 2 racks parallel 80' NE of 7th St","business address is 1083 for restaurant at 1085; TANSAT for peak periods so corral is not an option; request for up to eight racks for employees, up to three racks for customers (survey only for customers)",n/a,30,04/01/2012 12:00 AM,3,in front of 1083 and 1085,employees bikes being stolen and customers need bike parking,owner,Matt Semmelhack,msemmelh@gmail.com ,415.341.9000 or 415.990.2409,"1085 Mission
San Francisco, California
(37.779464, -122.410486)"
_Installed,Sidewalk Rack,Green Depot,Bryant,Ninth St,37.771524,-122.408279,South of Market,6,The SFMTA,05/18/2012 12:00 AM,06/11/2012 12:00 AM,7,2012,1,JC,"SES Bryant, 25' NE of 9th St",,n/a,28,09/20/2011 12:00 AM,1,,,Employee,Margaret Galvin,mgalvin@greendepot.com ,,"1090 Bryant
San Francisco, California
(37.771524, -122.408279)"
Not Recommended,Sidewalk Rack,residential,Eddy,Gough,37.782327,-122.425514,,,The SFMTA,02/12/2011 12:00 AM,,,,0,,,,Residential-only land-use,n/a or pre-injunction,02/12/2011 12:00 AM,1,in front,"residents and guests ride bikes, no place to lock them",resident manager,Greg Tietz,sfdirtymonkey@sbcglobal.net,,"1090 Eddy
San Francisco, California
(37.782327, -122.425514)"
_Installed,Sidewalk Rack,Cala Foods,Hyde,California,37.790703,-122.417374,Nob Hill,3,The SFMTA,10/20/2010 12:00 AM,11/16/2010 12:00 AM,12,2010,2,EK,"WS Hyde, 60' S of California",,n/a,n/a or pre-injunction,05/31/2009 12:00 AM,2,,,,,,,"1095 Hyde
San Francisco, California
(37.790703, -122.417374)"
Hold,Sidewalk Rack,Muni Woods Division,Indiana,Tubbs,37.756954,-122.391056,,,The SFMTA,,,,,0,,,"Wallace is on site 8-4, contact him to meet in field, include this location as part of larger Muni request",n/a,n/a or pre-injunction,03/18/2011 12:00 AM,2,"inside yard or outside on sidewalk (coordinate with Lauren Mattern, Sfpark)",,Assistant Superintendent,Wallace Johnson,wallace.johnson@sfmta.com,415.695.7252 or 601.7750 (work cell),"1095 Indiana
San Francisco, California
(37.756954, -122.391056)"
_Installed,Sidewalk Rack,_undetermined,Market,Seventh St,37.780617,-122.412291,South of Market,6,The SFMTA,,,,2004,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1095 Market
San Francisco, California
(37.780617, -122.412291)"
_Installed,Sidewalk Rack,El Bethel Terrace,Fillmore,Golden Gate,37.779304,-122.431923,Western Addition,5,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1099 Fillmore
San Francisco, California
(37.779304, -122.431923)"
_Installed,On-Street Corral,Boogaloos,Valencia,22nd St,37.75534,-122.420903,Mission,9,The SFMTA,,,5,2010,6,RD,0 feet to 34 feet north of 22nd St (34'),racks installed at 60-degree angle,n/a,n/a or pre-injunction,05/11/2010 12:00 AM,,,,,,,,"1099 Valencia
San Francisco, California
(37.755340, -122.420903)"
_Installed,Sidewalk Rack,Fox Plaza,10th St,Market,37.776531,-122.417531,South of Market,6,The SFMTA,,,,2006,1,1, ,,n/a,24,,,,,,,,,"10th St and Market
San Francisco, California
(37.776531, -122.417531)"
Not Recommended,Sidewalk Rack,parking lot,10th St,Mission,37.775282,-122.415907,,,The SFMTA,08/17/2010 12:00 AM,,,,0,1,,3 corners are parking lots; coffee shop on N/E corner has ample meters for bike parking,Narrow sidewalk,n/a or pre-injunction,12/17/2008 12:00 AM,1,,,,,,,"10th St and Mission
San Francisco, California
(37.775282, -122.415907)"
_Installed,Sidewalk Rack,SFMTA Customer Service,S Van Ness,Market/Mission,37.775025,-122.419142,South of Market,6,The SFMTA,03/02/2012 12:00 AM,03/22/2012 12:00 AM,4,2012,1,RD/MH/JC,directly in front of address,,n/a,25,,,,,,,,,"11 S Van Ness
San Francisco, California
(37.775025, -122.419142)"
